space, pressure
0.107336, 997968
0.107426, 997962
0.107516, 997955
0.107606, 997949
0.107696, 997942
0.107786, 997936
0.107876, 997930
0.107966, 997923
0.108056, 997917
0.108146, 997910
0.108236, 997904
0.108326, 997897
0.108416, 997891
0.108506, 997884
0.108596, 997878
0.108686, 997871
0.108776, 997865
0.108866, 997858
0.108956, 997852
0.109046, 997845
0.109136, 997838
0.109226, 997832
0.109316, 997825
0.109406, 997819
0.109496, 997812
0.109586, 997805
0.109676, 997799
0.109766, 997792
0.109856, 997786
0.109946, 997779
0.110036, 997772
0.110126, 997766
0.110216, 997759
0.110306, 997752
0.110396, 997745
0.110486, 997739
0.110576, 997732
0.110666, 997725
0.110756, 997718
0.110846, 997712
0.110936, 997705
0.111026, 997698
0.111116, 997691
0.111206, 997685
0.111296, 997678
0.111386, 997671
0.111476, 997664
0.111566, 997657
0.111656, 997650
0.111746, 997644
0.111836, 997637
0.111926, 997630
0.112016, 997623
0.112106, 997616
0.112196, 997609
0.112286, 997602
0.112376, 997595
0.112466, 997588
0.112556, 997581
0.112646, 997574
0.112736, 997567
0.112826, 997560
0.112916, 997553
0.113006, 997546
0.113096, 997539
0.113186, 997532
0.113276, 997525
0.113366, 997518
0.113456, 997511
0.113546, 997504
0.113636, 997497
0.113726, 997490
0.113816, 997483
0.113906, 997476
0.113996, 997469
0.114086, 997462
0.114176, 997455
0.114266, 997447
0.114356, 997440
0.114446, 997433
0.114536, 997426
0.114626, 997419
0.114716, 997412
0.114806, 997404
0.114896, 997397
0.114986, 997390
0.115077, 997383
0.115167, 997375
0.115257, 997368
0.115347, 997361
0.115437, 997354
0.115527, 997346
0.115617, 997339
0.115707, 997332
0.115797, 997325
0.115887, 997317
0.115977, 997310
0.116067, 997303
0.116157, 997295
0.116247, 997288
0.116337, 997280
0.116427, 997273
0.116517, 997266
0.116607, 997258
0.116697, 997251
0.116787, 997243
0.116877, 997236
0.116967, 997229
0.117057, 997221
0.117147, 997214
0.117237, 997206
0.117327, 997199
0.117417, 997191
0.117507, 997184
0.117597, 997176
0.117687, 997169
0.117777, 997161
0.117867, 997154
0.117957, 997146
0.118047, 997139
0.118137, 997131
0.118227, 997123
0.118317, 997116
0.118407, 997108
0.118497, 997101
0.118587, 997093
0.118677, 997085
0.118767, 997078
0.118857, 997070
0.118947, 997062
0.119037, 997055
0.119127, 997047
0.119217, 997039
0.119307, 997032
0.119397, 997024
0.119487, 997016
0.119577, 997008
0.119667, 997001
0.119757, 996993
0.119847, 996985
0.119937, 996977
0.120027, 996970
0.120117, 996962
0.120207, 996954
0.120297, 996946
0.120387, 996938
0.120477, 996931
0.120567, 996923
0.120657, 996915
0.120747, 996907
0.120837, 996899
0.120927, 996891
0.121017, 996883
0.121107, 996876
0.121197, 996868
0.121287, 996860
0.121377, 996852
0.121467, 996844
0.121557, 996836
0.121647, 996828
0.121737, 996820
0.121827, 996812
0.121917, 996804
0.122007, 996796
0.122097, 996788
0.122187, 996780
0.122277, 996772
0.122367, 996764
0.122457, 996756
0.122547, 996748
0.122637, 996740
0.122727, 996732
0.122817, 996724
0.122907, 996715
0.122997, 996707
0.123087, 996699
0.123177, 996691
0.123267, 996683
0.123357, 996675
0.123447, 996667
0.123537, 996658
0.123627, 996650
0.123717, 996642
0.123807, 996634
0.123897, 996626
0.123987, 996617
0.124077, 996609
0.124167, 996601
0.124257, 996593
0.124347, 996584
0.124437, 996576
0.124527, 996568
0.124617, 996560
0.124707, 996551
0.124797, 996543
0.124887, 996535
0.124977, 996526
0.125068, 996518
0.125158, 996510
0.125248, 996501
0.125338, 996493
0.125428, 996485
0.125518, 996476
0.125608, 996468
0.125698, 996459
0.125788, 996451
0.125878, 996443
0.125968, 996434
0.126058, 996426
0.126148, 996417
0.126238, 996409
0.126328, 996400
0.126418, 996392
0.126508, 996383
0.126598, 996375
0.126688, 996366
0.126778, 996358
0.126868, 996349
0.126958, 996341
0.127048, 996332
0.127138, 996323
0.127228, 996315
0.127318, 996306
0.127408, 996298
0.127498, 996289
0.127588, 996280
0.127678, 996272
0.127768, 996263
0.127858, 996255
0.127948, 996246
0.128038, 996237
0.128128, 996229
0.128218, 996220
0.128308, 996211
0.128398, 996202
0.128488, 996194
0.128578, 996185
0.128668, 996176
0.128758, 996167
0.128848, 996159
0.128938, 996150
0.129028, 996141
0.129118, 996132
0.129208, 996124
0.129298, 996115
0.129388, 996106
0.129478, 996097
0.129568, 996088
0.129658, 996079
0.129748, 996071
0.129838, 996062
0.129928, 996053
0.130018, 996044
0.130108, 996035
0.130198, 996026
0.130288, 996017
0.130378, 996008
0.130468, 995999
0.130558, 995990
0.130648, 995981
0.130738, 995972
0.130828, 995963
0.130918, 995954
0.131008, 995945
0.131098, 995936
0.131188, 995927
0.131278, 995918
0.131368, 995909
0.131458, 995900
0.131548, 995891
0.131638, 995882
0.131728, 995873
0.131818, 995864
0.131908, 995855
0.131998, 995846
0.132088, 995837
0.132178, 995828
0.132268, 995818
0.132358, 995809
0.132448, 995800
0.132538, 995791
0.132628, 995782
0.132718, 995773
0.132808, 995763
0.132898, 995754
0.132988, 995745
0.133078, 995736
0.133168, 995726
0.133258, 995717
0.133348, 995708
0.133438, 995699
0.133528, 995689
0.133618, 995680
0.133708, 995671
0.133798, 995662
0.133888, 995652
0.133978, 995643
0.134068, 995634
0.134158, 995624
0.134248, 995615
0.134338, 995605
0.134428, 995596
0.134518, 995587
0.134608, 995577
0.134698, 995568
0.134788, 995558
