space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.024525, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.024975, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.025425, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.025875, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.026325, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.026775, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.027225, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.027675, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.028125, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.028575, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.029025, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.029475, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.029925, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.030375, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.030825, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.031275, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.031725, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.032175, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.032625, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.033075, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.033525, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.033975, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.034425, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
